mission_id,plot_id,config_id,postprocessing_id,detector,run_date,min_height_filter,chip_size,chip_stride,resolution,F1,precision,recall,n_core_field,n_core_drone,n_field_matched,n_drone_matched,raster_blur_sigma
142,6,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.3283582089552239,1.0,0.1964285714285714,56,11,11,11,
142,6,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.303030303030303,1.0,0.1785714285714285,56,10,10,10,
142,6,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1904761904761904,0.8571428571428571,0.1071428571428571,56,7,6,6,
142,6,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0689655172413793,1.0,0.0357142857142857,56,2,2,2,
142,6,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0677966101694915,0.6666666666666666,0.0357142857142857,56,3,2,2,
142,6,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0,0.0,0.0,56,0,0,0,
143,7,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6909090909090909,0.987012987012987,0.5314685314685315,143,77,76,76,
143,7,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6320754716981132,0.9710144927536232,0.4685314685314685,143,69,67,67,
143,7,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5482233502538071,1.0,0.3776223776223776,143,53,54,53,
143,7,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.384180790960452,1.0,0.2377622377622377,143,36,34,36,
143,7,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.2345679012345679,1.0,0.1328671328671328,143,20,19,20,
143,7,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1548387096774193,1.0,0.0839160839160839,143,13,12,13,
143,7,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0933333333333333,1.0,0.0489510489510489,143,6,7,6,
143,7,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0410958904109589,1.0,0.0209790209790209,143,3,3,3,
143,7,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0138888888888888,1.0,0.0069930069930069,143,1,1,1,
143,7,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0138888888888888,1.0,0.0069930069930069,143,2,1,2,
143,7,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0410958904109589,1.0,0.0209790209790209,143,3,3,3,
174,47,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5704137066443795,0.5492957746478874,0.5932203389830508,59,71,35,39,
174,47,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6116774791473587,0.7674418604651163,0.5084745762711864,59,43,30,33,
174,47,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6268152651131375,0.8648648648648649,0.4915254237288136,59,37,29,32,
174,47,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.4675324675324675,1.0,0.3050847457627119,59,22,18,22,
174,47,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.3611111111111111,1.0,0.2203389830508474,59,14,13,14,
174,47,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.2388059701492537,1.0,0.135593220338983,59,8,8,8,
174,47,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0967741935483871,1.0,0.0508474576271186,59,3,3,3,
174,47,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.064516129032258,0.6666666666666666,0.0338983050847457,59,3,2,2,
174,47,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0967741935483871,1.0,0.0508474576271186,59,4,3,4,
174,47,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.065040650406504,0.8,0.0338983050847457,59,5,2,4,
174,47,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0327868852459016,0.5,0.0169491525423728,59,2,1,1,
174,48,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.729415413242363,0.7205882352941176,0.7384615384615385,65,68,48,49,
